id,SAMPLE_ID,FILENAME,ALT_SAMLE_ID,DATA_FROMAT,SAMPLE_TYPE,PASSAGE,SUBJECT_ID,EXPERIMENTAL_STRATEGY,PAIRED_END,CAPTURE_KIT,PLATFORM,FILESIZE,CHECKSUM,,
5d5ffdb4e4b09cae76807add,HCI016_pdx_P2_XXX_RNA_10962X20,10962X20_HCI017_PDXtumor_P2_2.txt.gz,10962X20,1,2,2,HCI-017,2,2,4,1,,,,
5d5ffdb4e4b09cae76807ad2,HCI018_pdx_P2_XXX_RNA_10962X21,10962X21_HCI018_PDXtumor_P2_1.txt.gz,10962X21,1,2,2,HCI-018,2,1,4,1,,,,
5d5ffdb4e4b09cae76807ad0,HCI018_pdx_P2_XXX_RNA_10962X21,10962X21_HCI018_PDXtumor_P2_2.txt.gz,10962X21,1,2,2,HCI-018,2,2,4,1,,,,
5d5ffdb4e4b09cae76807ad3,HCI019_pdx_P2_XXX_RNA_10962X22,10962X22_HCI019_PDXtumor_P2_1.txt.gz,10962X22,1,2,2,HCI-019,2,1,4,1,,,,
5d5ffdb4e4b09cae76807ac7,HCI019_pdx_P2_XXX_RNA_10962X22,10962X22_HCI019_PDXtumor_P2_2.txt.gz,10962X22,1,2,2,HCI-019,2,2,4,1,,,,
5d5ffdb4e4b09cae76807acd,HCI002_pdx_P7_XXX_RNA_10962X3,10962X3_HCI002_PDXtumor_P7_1.txt.gz,10962X3,1,2,7,HCI-002,2,1,4,1,,,,
5d5ffdb4e4b09cae76807acb,HCI002_pdx_P7_XXX_RNA_10962X3,10962X3_HCI002_PDXtumor_P7_2.txt.gz,10962X3,1,2,7,HCI-002,2,2,4,1,,,,
5d5ffdb4e4b09cae76807ab8,HCI002_pdx_P3_XXX_RNA_10962X4,10962X4_HCI002_PDXtumor_P3_1.txt.gz,10962X4,1,2,3,HCI-002,2,1,4,1,,,,
5d5ffdb4e4b09cae76807a5c,HCI002_pdx_P3_XXX_RNA_10962X4,10962X4_HCI002_PDXtumor_P3_2.txt.gz,10962X4,1,2,3,HCI-002,2,2,4,1,,,,
5d5ffdb4e4b09cae76807a6d,HCI003_pdx_P3_XXX_RNA_10962X5,10962X5_HCI003_PDXtumor_P3_1.txt.gz,10962X5,1,2,3,HCI-003,2,1,4,1,,,,
